,Unnamed: 0,Unnamed: 0.1,tweet,dogruluk,tahmin,durum
14,14,14,kendisine soylemis vatan haini diye  dogru soylemis duvarci kalfasi bingur  heskodunureddet uygurlari̇adeedilemez asgariucret  httpstco2kcfj8amvm,0,0,0
15,15,15,kisa cop uzun copten hakkini alir elbette direnmekle mucadeleylekurtulmakla  elbet birgun  asgariucret  millet3100cumhur2825  httpstcoql73e9hj7f,0,0,0
16,16,16,karayollari taseron iscileri  ayni sartlar altinda calisiyor  2 kadroya gecmedi 3 asgariucret  aliyor 4 oglen yemek parasi yok 5 karla mucadale edip uc ogun yemegi cebinden yiyor 6 giysi verilmiyor 7 isci emekci sesini duyan yok  sozlesmelilerekadro  httpstcoewszyk6ql9,0,0,0
17,17,17,bu adamin yatacak yeri yok  bir yuzuk ile baslayan hikâyede saraylara sigmayan zihniyet  asgariucret  httpstcoyr8y9m2adf,0,0,0
18,18,18,asgariucret hes kodu isteyen bankaya avm ve zincir magazalara gitmiyoruz  esnaf bize destek oluyor biz esnafa destek oluyoruz  heskodunureddet,0,0,0
19,19,19,akp 2825 tl asgari ucret aciklarken  halkin belediyeleri neden 3100 tl  asgariucret acikladi   cunku 👇👇👇👇👇  httpstcoeb9sskyphp,1,1,0
20,20,20,asgari ucret dolar kadar artsaydi              3000 ₺ olurdu euro  kadar artsaydi               3250 ₺ olurdu gram altin kadar artsaydi      3600 ₺ olurdu aycicek yagi kadar artsayd i  4550 ₺ olurdu pinpon topuna gore artinca  2825 ₺ oldu  asgariucret,1,0,0
21,21,21,bir yanda yoksulluk siniri altinda yasayan milyonlar bir yanda kolunda parmaginda milyonluk takilarla gezenler i̇nsanlarin yuzune bakarken hic utanmiyor musunuz  asgariucret  millet3100cumhur2825,0,0,0
22,22,22,sahte rakamlarla size usaklik eden tuik i degil yasam mucadelesi veren milyonlari dinleyecektiniz hic bir isiniz dogru duzgun degil  asgariucret    httpstcoq4rc3hcemb,0,0,0
23,23,23,millet3100cumhur2825 diyor biz asgariucret degil insanca yasamak diyoruz  siz surunmeye devam diyorsunuz bizde sandiktagorusuruz diyoruz  httpstco6ktgbjtkgi,0,0,0
24,24,24,bunca cani tek basima doyurmam mumkun degil😔lutfen gormezden gelmeyin 1 kg mamaya bile muhtaclar dolmabahcedekapkaragece unilericinkarar asgariucret saglikciyoksayilamaz pazartesi mekkeninfethi  httpstcoydfigewhp6,0,0,0
25,25,25,beyler ulke yonetiyoruz ulke   millet yonetiyoruz millet 2011 butce gorusmesi ve mudure 10 yildir anlatiyor rterdogan algi ve yalandan baska bir sey yok asgariucret de algiya devam bizburadaoldukca ve burdayiz  httpstcoatdhdbcux1,0,0,0
26,26,26,kuba maas farki 3 diyor cocugunun gelecegini dusunmemek dunyadaki cennet diyor  az sinir bozalim calisinca oluyormus  asgariucret  httpstcotkw6moi3lj,0,0,0
27,27,27,chp’li belediyelerden belediye personeline asgari ucret  i̇stanbul 3100 tl ankara 3100 tl i̇zmir 3100 tl adana 3100 tl antalya 3100 tl canakkale 3185 tl eskisehir 3350 tl  asgariucret,0,0,0
28,28,28,2825 lira 90 kurus asgariucret e layik gorulen insanlar  25 bin lira maas alani savunup80 bin lira maas alan insana allah razi olsun diyor  jonathan swift aclik ile gurur hicbir zaman bagdasamazder  emeklilikteyasatakilanlar,1,1,0
29,29,29,hic bir is yapmayan kilicdaroglunun 12 asgari ucret aldigi devirde sayin cumhurbaskanimiz 50 katini alsa yine az  annenizin ak sutu gibi helâl u hos olsun rterdogan asgariucret  httpstcobm98phw80i,0,0,0
30,30,30,tahtimi tacimi veririm fakat devletime siginan mazlumlari asla dusmana vermem turkiyeye umut kapisi gozuyle bakan kardeslerimizi cine teslim etmeyin  uygurturkleriyalnizdegildir  unilericinkarar asgariucret oldumu  armandasakli  uygurlari̇adeedilemez 2020yebirsozbirak  httpstco6nxro4bujm,0,0,0
31,31,31,bu ulkeyi yonetenler yasamanin sadece nefes alip vermek oldugunu zannediyorlar    asgariucret 2825,0,0,0
32,32,32,asgari yatirim danismanlik  asgariucret  httpstcopobirfhas1,0,0,0
33,33,33,reform diye sunulan 5510 sayili yasa ile belirledikleri 🅰️🅱️🅾️ aylik baglama orani ile  emekliler aclik sinirinin altinda maasa mahkum oldu  di̇renen eyt’liler olarak  cozumi̇ci̇nsecim diyoruz emeklilikteyasatakilanlar  asgariucret,0,0,0
34,34,34,2825 lira 90 kurus asgariucret e layik gorulen adam   25 bin lira maas alani savunup80 bin lira maas alan adama allah razi olsun diyor  jonathan swift aclik ile gurur hicbir zaman bagdasamazder  bunlar ac birakildikca biat ediyorlarbiat ettikce gururlarinida kaybediyorlar,1,1,0
35,35,35,hukumetin basinda chp yonetimi olsaydi asgariucret 1000 tl olsaydi yarabbi sukur derdiniz simdi sirf mevcut ak parti iktidardan dussun  tayyip erdogan dussun diye yapmadiginizi birakmadiniz dun de aldanmadik bugunde yarinda aldanmayacagiz oyunlariniza millet3100cumhur2825,0,0,0
36,36,36,mehmetkesimoglu galp20663124 kirklareli belediyesi calisanlarinin aldigi en dusuk ucret 3520 tl’dir ☺️ asgariucret millet3100cumhur2825  httpstcokb68ut8o2g,1,0,0
37,37,37,milyonlarca insanin agzina bir parmak bal calip  mujde gibi gosterip   bumudur milyonlara verdiginiz sevindirici haber  aboyu kim dusurdu chp mi  asgariucret  httpstcohz3z7vp1ay,0,0,0
38,38,38,asgariucret  yeminle bu topluma fazla sadaka rakami aciklanmis protesto grev is birakma yok sesi en fazla cikacak insanlar 2 twetle toplumun gazini aliyor daha kotusu gundemde olan tt futbol maci,0,0,0
39,39,39,asgariucret uzerinde nikah olamayan erkekler ve karilar  istedigi herifin sikini ve istedigi karinin amini siker fakat nikah vesikasi altinda birbirini sikmek benim insan yaradilisima ters nikahli sikismeler turkiyemiz de fantezi adi altinda i̇nsanlik sucudur sapkinliktir  httpstcoceaxcldxdr,0,0,0
40,40,40,⚠️stklara kayyum atamasi keyfiyete birakildi  ⚠️uygur turkleri cin iskencesine teslim edilmek isteniyor ⚠️asgari ucretliye kuru ekmek keyif cayi hangi birini saysam  taglar da 1sirada futbol meraki i̇ste toplum boyle uyutuluyor bjkvsi̇v uygurlari̇adeedilemez asgariucret,0,0,0
41,41,41,asgariucret  illa akillanmamiz icin  milletin cebine dokunucan  hayirlisi     httpstcobs0sf7lubd,0,0,0
42,42,42,hamza yerlikayanin sahte lise diplomasi ile ilgili 125 haber ve icerige erisim engeli getirildi asgariucret millet3100cumhur2825  httpstcoiou6xwo6f2,0,0,0
43,43,43,ekonomi bilmenize gerek yok ilkokul1 bilgisi yeter  3 tarafi denizlerle cevrili  4 mevsimi yasayan  i̇nsanlari caliskan  topraklari verimli  su ve dogal kaynak cenneti bir ulkede neden halkin cogu faki̇rli̇k bile degil aclik sinirinda yasiyor  asgariucret,0,0,0
44,44,44,29 aralik sali gunu  httpstcod7twojd1v9 da yine hayati paylasmak icin saat 1800 da kendisini buyuk bir onur ile konuk ettigim 2526 donem chp trabzon milletvekili degerli halukpeksen ile asgariucret i siyaseti insana dair yasami konusacagiz 🙏 bekleriz  httpstcosryrk6j6yk,0,0,0
45,45,45,asgariucret zammini sordugumuz vatandas  “benim bile arabam var akp gelmeden once alkoliktim simdi iki tane arabam var herkes akp’ye oy verse enflasyon da olmaz”  httpstcopoux8dbl4h,0,0,0
46,46,46,esarp 320€ ise uzerindeki elbise nin fiyatini tahmin bile edemiyorum asgariucret  httpstcoqfu3hf0sbo,0,0,0
47,47,47,ekmek pahali emek ucuzdu   asgariucret,0,0,0
48,48,48,asgari ucret komisyonunu asgari ucretle bir ay gecinmeye davet ediyorum acaba kac gun dayanabilecekler asgariucret,0,0,0
49,49,49,asgari ucret bekar icin2825 tl evli icin2879 tl aradaki 54 tl fark icin evlenmeye degmezhayatinizi karartmayiniz reca ediyorum  asgariucret,1,0,0
50,50,50,arkadaslar bu gunlerde yeni bir akim var hani bu twit bilmem kac begeni alirsa sunu hediye alacagim falan diye hazir akp asgariucreti 2825 tl 90 kurus yapmisken asgari ucretli bir akp secmenine para sayma makinesi hediye edelim diyorum ne dersiniz millet3100cumhur2825,1,1,0
51,51,51,aklimi kurcalayan bir soru 🤔  simdi cehape belediyelerin pandemi doneminde yaptigi yardimlariengelleyenler hazmedemeyenler  acaba diyorum asgariucreti 3100 tl yapacagiz diyen belediyelere engelleme gibi bir planlari olabilir mi   asgariucret millet3100cumhur2825  httpstco9kcqzjnmfr,0,1,0
52,52,52,bu hafta baslica merkez bankasinin son faiz artirimini yeni asgari ucreti enflasyon beklentilerini ve dolardaki dususu degerlendirdik httpstcorgfhmmtcwo artunckocabalkn integralforextv integralyatirim k1nsan dolar asgariucret enflasyon faiz merkezbankasi,0,0,0
53,53,53,asgari ucretin gecmis yillarda dolar karsisindaki durumu  💸2017 1404 tl 397 dolar 💸2018 1603 tl 422 dolar 💸2019 2020 tl 382 dolar 💸2020 2324 tl 392 dolar 💸2021 2825 tl 377 dolar asgariucret  httpstcoqcmugctcjy,1,1,0
54,54,54,2825 tl ile  ev kirasi mi odesin  elektrik faturasi mi odesin  su parasi mi odesin  mutfak giderlerini mi karsilasin  cocuklarinin okul masrafini mi karsilasin  esini gezmeye mi gotursun hepsini yapip ustune tatile mi ciksin🤷🏻‍♂️  millet3100cumhur2825 asgariucret  milletac  httpstcoc3w3jhkfeb,1,0,0
55,55,55,yil2021  ne ise yaradigini da halâ anlamadigim i̇mamin  maasi 4066 tl asgariucret  2825tl 90 kurus,1,0,0
56,56,56,hifzisihhayi kapatirmilli asi uretimini birakirsan boyle bir tercihe zorlanirsinmirasyedi olmamak lazimuretmeden tuketirsek seninle ayni dil konusanayni kandan gelen zulum goren soydaslarini koruyamazsin asgariucret  httpstcok58zm4nufs,0,0,0
57,57,57,vekil arkadasimiz  lutfuturkkan’ nin  “esnafa 500 lira kira yardimi kalyon i̇nsaata 95 milyar lira vergi muafiyeti” paylasimina kisilik haklari ihlal gerekcesiyle erisim engeli getirilmis 👇 bir hak ihlali varsa o da vatandasin “insanca” yasam hakki  asgariucret i̇yi̇parti  httpstcomyv22puxdw,0,0,0
58,58,58,2825 tl asgari ucret ile yasamak mumkun mudur evden cikmazsak yemezsek icmezsek kira odemezsek cocuklarimizin okul masrafi olmazsa kiyafet almazsak teknoloji gelismez ve yeni urunlere ihtiyac duymazsak kisaca yasamazsak iyi para aslinda avhuseyinbas asgariucret  httpstcovnyg851uyc,1,1,0
59,59,59,korkutmayin  httpstcossspmkulsr  hciloglu sebepsonuc asgariucret  httpstcouhgho3e1gi,0,0,0
60,60,60,patronlarin iscilere lutfettigi asgari ucret belli oldu somurenlerin halkla dalga gectigi her yil vasifsiz sendikalarla hukumetin sahte pazarliklar yaptigi bir gelecegi kabul etmiyoruz degistirmek icin yeni yila orgutlenerek girelim  asgariucret  httpstcojjpudvw7oq,0,0,0
61,61,61,4 kisilik bir aileyiz 350 tl dogalgaz faturasi elektrik175 su100 telefon internet dtjiturk300 tl  ev kira olsa 1000 tl de o  yemeden icmeden toplam1925 tl  yeter diyenlereen son ne zaman tatil yaptiniz demek istiyorum   asgariucret,0,0,0
62,62,62,  her gun eziyet her ay zulmet bu yilda olmedik anne sabret birazcik umut cokca mesakkat yine guldurmedi asgariucret  grb♡,0,0,0
63,63,63,asgari ucret imam maasi kadar olsun bence  asgariucret,0,0,0
64,64,64,mehmet siyam kesimoglu kirklareli belediyesi calisanlarinin aldigi en dusuk ucret 3520 tl’dir ☺️ asgariucret,0,0,0
65,65,65,ben kac zamandir kimsem olmamasina burda herkes icin cabaliyorum  bu twitimi kac kisi goruntulemis tanimadigim cok yabanci insan yazdi ama burdan bi arkadasim dahi sormadi destek olmadi😏 cok uzuldum acikcasi herkes laf atma pesinde🙄 asgariucret  httpstcorimsajyadl,0,0,0
66,66,66,muharrem i̇nce ve memleket hareketinin halkta karsiligi yok diyenler i̇zleyin bence 80 milyon gulsun diye  muharrem i̇nce  😊 vekilince   asgariucret  milletbikti  httpstcoelsojdt6ke,0,0,0
67,67,67,uygurlariadeedilemez uygurturkleriyalnizdegildir asgariucret asgariucret2021 2020ninkaybedeni,0,0,0
68,68,68,mehmet siyam kesimoglu kirklareli belediyesi calisanlarinin aldigi en dusuk ucret 3520 tl’dir ☺️ asgariucret,0,0,0
69,69,69,turk turku soyledi binlerce yildir derdini tasasini elemini kederini baglamasiyla paylasti kulturunu de baglamasiyla tasidi nesiller boyu  fakirlik sinirinin altinda sadaka niyetine verilen asgari ucreti de baglamasina sikayet etti yine  asgariucret  httpstcossx8ey278s,0,0,0
70,70,70,ekmek pahali emek ucuzdu  asgariucret,0,0,0
71,71,71,bu milleti caya simide muhtac ettiniz asgariucret  httpstco6nml6pr2an,0,0,0
72,72,72,ulastirma bakanligi 2020’deki 12 milyar tllik  hizli tren metro tramvay  ihalelerinin tamamini pazarlik usulu ile 3 yandas firmaya vermis  tahminen ne zaman doyarsiniz  bu bakan i̇bbde yolsuzluk iddiasiyla hakkinda suc duyurusu bulunan bakan  oldumu  asgariucret  httpstco3almspetn8,0,0,0
73,73,73,i̇stanbul ti̇caret odasi yabanci sermayeyi̇   turki̇yeye devet etmek i̇ci̇n turki̇yeyi̇ ucuz i̇s gucu olarak ovdu   utanc veri̇ci̇ bi̇r ovgu i̇ki̇ dai̇re alin turk vatandasi olun di̇yorlar ulkeyi̇  kuran ugrunda canlarini veren sehi̇tleri̇n kemi̇kleri̇ sizlamazmi oldumu  asgariucret pazartesi,0,0,0
74,74,74,mi̇llet i̇ti̇faki mi̇lleti̇n yaninda 👏👏👏👏👏  i̇zmir          3500 tl eskisehir    3350 tl ankara       3100 tl i̇stanbul     3100 tl mersin       3300 tl adana        3100 tl edirne        3200 tl sanliurfa    2825 tl  asgariucret millet3100cumhur2825   👇👇👇👇👇  httpstcodvpg3njrzb,1,1,0
75,75,75,asgariucret  meryemmmelikeee asgari ucret 2825 tl olmus bu rakami belirleyenlerin marketlerdeki etiketlerden haberi yok galiba ulkemizin 60 asgari ucretle geciniyor gunluk 100 tl harcasa en az ayda 3000 tl yapar hani kira faturalar nasil gecinecek neyle tasmi yesin 😠😠😠😠,1,1,0
76,76,76,asgari ucret dolar kadar artsaydi              3000 ₺ olurdu euro  kadar artsaydi               3250 ₺ olurdu gram altin kadar artsaydi      3600 ₺ olurdu aycicek yagi kadar artsayd i  4550 ₺ olurdu pinpon topuna gore artinca  2825 ₺ oldu  asgariucret,1,0,0
77,77,77,eminim bugun bir cok sozlesmeli memur asgari ucret ile 1000 tl kadrolularla ise ucurum maas farklariyla ailesinden memleketinden uzaklarda riskli mesleklerde calismanin deger mi acabasini yasiyordur 🤦‍♀️ asgariucret  sozlesmelilerekadro,0,0,0
78,78,78,evlenin diyen yetkililere sesleniyorum  ekk diye bir orgut var hizla cogaliyor verdiginiz 2825 tl asgariucret le bu senede umudunu kaybetti 😂😂😂😂😂😂 milletbikti  iyiaksamlar dostlar ✌ 👇👇👇👇👇👇👇👇👇👇  httpstcoami6hvl1tb,1,1,0
79,79,79,arzucerkezoglu hukumet acikladigi bu asgariucret rakamiyla isciyle isvereni bas basa birakarak caresizlige ve sefalete mahkum etmistir  asgariucret2021  sefaletucreti millet3100cumhur2825 tl tui̇k market nerde pinpon topu alacam  cinlerle macimiz var   httpstcowij2trrnv9,0,1,0
80,80,80,oldumu asgariucret sosyal bir varlik oldugu icin toplumun belirledigi kurallara uyum saglamasi gerekir i̇nsanlarin sadece ben merkezli degil de biz olma egiliminde olmalari da gerekir kimi zaman ben kimi zamanda biz olarak yasamak lazim gelir 2020yebirsozbirak 50m2  httpstco7fbleg5foo,0,0,0
81,81,81,🎉i̇slem tp🎉  haftaya baslarken cok guzel bir hafta olacagini belirtmistim ve gune guzel basladim  hedefimize 🏃‍♀️ ilerliyoruz  forex trade gizemyldrm48 asgariucret bist borsa gold dax asgariuecret gbpusd euro  httpstconngg7jimdr,0,0,0
82,82,82,i̇yi genclik konya ailemizden murat ruhlucan’nin size bir mesaji var ☀️  meralaksener iyiparti gokhantozoglu muratrhlcn bernasukas  meralaksener iyiparti umidimgencliktedir konya asgariucret genclik  httpstco1yvvixfoyv,0,0,0
83,83,83,kirklareli belediyesi calisanlarinin aldigi en dusuk ucret 3520 tl’dir ☺️ asgariucret  httpstcowiwoyyzltt,0,0,0
84,84,84, 💞🍒💞 gozlerin diyorum sevgili dusman topraklari gibiydi  ne zaman baksam vurulurdum  hayirliaksamlar  dostlar 🤗  🌷☕🌷☕  asgariucret  realmadrid sivasspor  httpstcoypm7aowecs,0,0,0
85,85,85,saray’da 3000 bin kisilik mutevazi bir iftar yemegi hazirlaniyor  asgariucret2825tl millet3100cumhur2825 asgariucret   httpstcokk8u4mqfpp,0,1,0
86,86,86,sutu bozuklar😏  asgariucret millet3100cumhur2825  httpstcodj3bsv8sca,0,0,0
87,87,87,asgariucret sefalet duzeyinde kalmis durumda  2020’nin basinda 390 dolar olan asgari ucret simdi 379 dolara denk geliyor  500 lira zam kararina sendikalar ve calisanlardan tepki  dw haberde  httpstcormsltyynok  httpstcolih7ybrjvo,0,0,0
88,88,88,hep ayni tiyatro  disk asla kabul edilemez  haki̇s her sey bitmis degil  turki̇s gonul isterdi ki  hukumet enflasyona ezdirmedik  kuru ekmek bulan toktur netice ulkenin yarisi kuru ekmeye talim  asgariucret,0,0,0
89,89,89,📍chpli belediyeler 3100 tl vererek show yapiyor ama zaten asgariucret  2825 90kurus     diye dalga gecenler ve tum belediyeler en az calisanlarina 3200 tl vermek zorundalar   📍bu durumda chpli belediyeler  100 tlyi ne yapti  ,1,1,0
90,90,90,asgariucret  httpstcoul63xs2egb,0,0,0
91,91,91,asgariucret fkocadiyetisyenigor diyetisyenlerin gorev taniminda sadece zayiflatma ve kilo aldirma yoktur nutrisyonda gebecocuk bes onkolojide endokrinde kurum mutfaginda vb kisacasi beslenme teriminin gectigi her alanda ve her yerde diyetisyene ihtiyac vardir,0,0,0
92,92,92,su kucucuk canlarina kiymayin yemeyin onlari i̇nsan bebeklerinden hicbir farklari yok mezbahalarda korku ve aci icinde titreyerek olumu beklemesinler aci cektirilerek bacaklari koparilarak oldurulmesinler birakin yasasinlar asgariucret unilericinkarar millet3100cumhur2825  httpstcondxibxana2,0,0,0
93,93,93,asgariucret bu parayla gecinilirmi hakkaniyetlimi sefaletucreti eyt emeklilikteyasatakilanlar,0,0,0
94,94,94,mucadele ve sabir bizim sorumlulugumuzdadir  zafer ise allaha aittir   cumhurbaskanimiz sayin rterdogan i̇le olumune 🇹🇷  cumhurbaskanierdogan asgariucret yagmur cumhurbaskanligi kabinesi uygurturkleriyalnizdegildir 2020yebirsozbirak 2020giderken yemen erdogankonusuyor  httpstcouv5k5nkg0v,0,0,0
95,95,95,iste muhalefet bu ocalanpkkhdp ortak yapimi katliam ayaklanmasi “serbest birakin” diyemiyorlar “ai̇hm karanina uyun” diyorlar nedim sener  cumhurbaskanligi kabinesi asgariucret erkan tan 50m2 o 90 millet3100cumhur2825                                        solist4242  httpstconjvf4jxi66,0,1,0
96,96,96,bu ulkede hayat kurtarmanin maliyeti dusuk maas midir  drfahrettinkoca  saglikciyaasgaridenazmaas asgariucret oldumu  httpstco1hxurgcjdh,0,0,0
97,97,97,cumhuriyetgzt oldumu sanki asi gelmis yarin asi olunacak gibi konusuyorlar beceriksizliklerini ortmeye calisiyorlar milleti delirtecekler asi getirmeyi ve asi yapmayi belediyelere ve turk tabipleri birligine biraksinlar millet3100cumhur2825 asgariucret cozumi̇cinerkensecim foxanahaber,0,0,0
98,98,98,bir sosyal medya hastaligina yakalananlar var   birde asgariucret hastaligina yakalananlar   sizinkisi hangisi peki    asgariucret  iyiaksamlar  httpstcocslskc7sm2,0,0,0
99,99,99,6 milyon kadar asgari ucretle calisan var  2825 lira 90 kurus asgariucret kesin o 10 kurusu 6 milyonla carptilar 10 kurus onemli,1,1,0
100,100,100,sanmiyorum 2825 tl 90 kr senin aracinin mazotuna yetecegine asgariucret  httpstcosb3hcpubmt,1,1,0
101,101,101,universite hastanesinde calisan 4b li bir hemsire olarak asgariucret 2825 tl iken benim maasim net 2400 tl saglikciyaseyyanenzam yapilmalidir  saglikciyaasgaridenazmaas drfahrettinkoca yektasarac zehrazumruts rterdogan,1,1,0
102,102,102,asgariucret den vergi alinmasin dediklerinde akp zihniyeti butcemiz yetersiz butce acigi var  millet3100cumhur2825  kanal i̇stanbul gundeme gelince devletimiz guclu bu proje icin yeterli butcemiz var ama millete gelince butceniz nedense bir turlu yetmiyor  chp li z kusagi,0,1,0
103,103,103,babanem asgari ucretin askerlere verildigini dusunuyor asgariucret,0,0,1
104,104,104,dedi koltugun sahibi😏  kralciplak  ne demisti coban sulo  dun dundur bugun bugundur ehh bu teze gore yarin da yarindir 😂🤣🤣 millet3100cumhur2825  asgariucret  milletbikti  erkensecimlegideceksiniz  httpstcoucegy1murq,0,0,1
105,105,105,ekmek pahali emek ucuz baska hicbir sey demiyorum  1 ocak 2021 itibariyle yeni maaslar  cumhurbaskani         88000  emekli c baskani      35200  emekli basbakan      26400  emekli milletvekili    15210 asgari ucret                 2825   asgariucret,1,1,0
106,106,106,queensedaaaa onlarca engele ragmen asgariucret i 3100 tl yapan bu kardeslerinize yetkiyi verin iste o zaman gorun sahlanmayi  millet3100cumhur2825,0,0,0
107,107,107,asgariucret   2825 lira 90 kurus olmamiski  3577 lira 50 kurus olmus  avrupaya gelince asgari ucreti brutten hesap ediyorsunuzda kendinize gelince niye netten hesap ediyorsunuz  lannn az cakal degilsiniz,1,1,0
108,108,108,millet3100cumhur2825 i̇stanbul un derya denizparasi vakiflarayandaslaradegil  yurttaslarimiza gittigine gore  ekremimamoglu baskanimiz dan belediyeler icinde en yuksek asgariucret i vermesi icin cagri yapiyorumcunku istanbulun sartlar cok daha zor   httpstcojhfcrnrvoz,0,0,1
109,109,109,i̇cerisinde cocuk yardiminin da oldugu aylik maasim yere goge sigdiramadiginiz saglikcilara reva gorulen bu ben hakkimi helal etmiyorum   saglikciyaasgaridenazmaas asgariucret  httpstcornkvijhkei,0,0,0
110,110,110,bozcaada belediyesi ve bozcaada kent hizmetleri as’de emek veren mesai arkadaslarimiz icin minimum ucret 1 ocak 2021 tarihinden itibaren net 3 bin 100 lira olarak uygulanacaktir emekcilerimize hayirli olsun bozcaada bozcaadabizim emekci calisan insancayasam asgariucret  httpstcorzktdlyogg,1,0,0
111,111,111,avhuseyinbas aclik siniri 2516 tl  kopru altinda yasar ve kiyafete de gerek yok dersek  saglikli beslenir 309 tl de birikim yapariz asgariucret,0,0,0
112,112,112,an itibariyle asgariucret  hemsire maasindan uc lira asagida kaldi yani sair burda diyor ki okuduysan emek verdiysen neyime  herkes okursa kim ciftci olacak simitci olacak diyenler okumus bi yerlere gelmis insanlar bu celiski beni delirtiyor,0,0,0
113,113,113,onlarca engele ragmen asgariucret i 3100 tl yapan bu kardeslerinize yetkiyi verin iste o zaman gorun sahlanmayi  millet3100cumhur2825  httpstcocl8rrpkd19,1,1,0
114,114,114,asgari ucret uzerinden emekli olucaz bu gercegi sizin akliniz aliyor mu saglikcilariduymuyorlar asgariucret,0,0,0
115,115,115,erdogan bakanlar kurulu toplantisi sonrasinda yaptigi konusmada asgari ucreti 282590 lira degil 2826 lira olarak acikladi kendisi de 10 kurus zam yapmis anlasilan hadi yine iyisiniz😄  asgariucret millet3100cumhur2825,1,0,0
116,116,116,bize kurus hesaplayip ucret veren sisteme lanet olsun asgariucret,0,0,0
117,117,117,i̇s as saglik icin ehliyetaffi asgariucret,0,0,0
118,118,118,asgariucret alan bile aclik sinirinda iken milyonlarca issiz vatandas ne yapsin bakin insanlari ne hale dusurduler  httpstco1rsxhadvwq,0,0,0
119,119,119,enteresan seyler oluyor hukumeti kayitsiz sartsiz destekleyip ota boka tag acan trollerin asgariucretinyanindayiz tagini henuz acmamis olmalari garip  😂😂🤷‍♂️🤷‍♂️ asgariucret,0,0,0
120,120,120,takip et aninda gt dene ve gor     asgariucret  handeercel unilericinkarar,0,0,0
121,121,121,btp genel baskani huseyin bas avhuseyinbas dedi ki evden cikmazsak yemezsek icmezsek kira odemezsek cocuklarimizin okul masrafi olmazsa kiyafet almazsak teknoloji gelismez ve yeni urunlere ihtiyac duymazsak kisaca yasamazsak iyi para aslindaasgariucret,0,0,0
122,122,122,topu topu uc ceyrek altinlik  asgariucret   neyse ki butun dunya ucan ekonomimizi cok kiskanmakta,0,0,0
